,Alloy composition,,,,,,,,,,,,,,Heat Treatment,,,,,,Microstructure and Phases,,Allot Discription ,,
Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Homogenization_Temp,Homogenization_Time,Annealing_Temp,Annealing_Time_(min),Quenching,HPR,Microstructure,Phases,"The alloy Al0.5NbTaTiV , is having 5 elemental composition and without heat treatment it is showing BCC microstructure and BCC_SS Phases",,References
Al0.25CoFeNi,0.076923077,0.307692308,0,0.307692308,0.307692308,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jmmm.2014.07.023
Al0.5CoFeNi,0.142857143,0.285714286,0,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.jmmm.2014.07.023
Al0.75CoFeNi,0.2,0.266666667,0,0.266666667,0.266666667,0,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.jmmm.2014.07.023
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.intermet.2015.01.004
CoCrFeNb0.103Ni,0,0.243724104,0.243724104,0.243724104,0.243724104,0,0,0,0,0.025103583,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1016/j.intermet.2015.01.004
CoCrFeNb0.155Ni,0,0.240673887,0.240673887,0.240673887,0.240673887,0,0,0,0,0.037304452,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1016/j.intermet.2015.01.004
CoCrFeNb0.206Ni,0,0.237755587,0.237755587,0.237755587,0.237755587,0,0,0,0,0.048977651,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1016/j.intermet.2015.01.004
CoCrFeNb0.309Ni,0,0.232072407,0.232072407,0.232072407,0.232072407,0,0,0,0,0.071710374,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1016/j.intermet.2015.01.004
CoCrFeNb0.412Ni,0,0.226654578,0.226654578,0.226654578,0.226654578,0,0,0,0,0.093381686,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1016/j.intermet.2015.01.004
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2008.01.064
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2010.07.028
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2010.07.049
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2010.10.047
AlC0.1CoCrFeNi,0.196078431,0.196078431,0.196078431,0.196078431,0.196078431,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2010.10.047
AlC0.2CoCrFeNi,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2010.10.047
AlC0.3CoCrFeNi,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2010.10.047
AlC0.4CoCrFeNi,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2010.10.047
AlC0.5CoCrFeNi,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2010.10.047
AlCCoCrFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2010.10.047
AlCoCrFeMo0.1Ni,0.196078431,0.196078431,0.196078431,0.196078431,0.196078431,0,0,0,0,0,0.019607843,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2010.07.028
AlCoCrFeMo0.2Ni,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0,0,0,0.038461538,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2010.07.028
